text,label,source
marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,Neutral,FinancialPhraseBank
"capman has six investment areas capman buyout , capman technology , capman life science , capman russia , capman public market and capman real estate , and each of them has a dedicated team and funds .",Neutral,FinancialPhraseBank
"we are glad that our long co-operation with sodra continues '' , comments stig-goran sandberg , affecto 's area manager for baltic operations .",Joy,FinancialPhraseBank
"higher bit rates for outgoing traffic improves the end-user experience of mobile broadband services such as video conferencing , file sharing and sending e-mails with attachments .",Optimism,FinancialPhraseBank
"hkscan is one of the leading food companies in northern europe with homemarkets in finland , sweden , the baltic countries and poland .",Neutral,FinancialPhraseBank
"we have tailored our solutions to meet solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''",Optimism,FinancialPhraseBank
"metso foundries jyvaskyla , inc. will begin personnel negotiations on temporary lay-offs and personnel reductions in jyvaskyla , finland .",Sadness,FinancialPhraseBank
operating profit improved by 16.7 to eur 7.7 mn .,Optimism,FinancialPhraseBank
"investors will continue being interested in the company 's share although it is not quite cheap , affarsvarlden said .",Optimism,FinancialPhraseBank
alfa group will have 43.9 of voting stock in the new company and telenor 35.4 with a free float of 20.7 .,Neutral,FinancialPhraseBank
the group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,Neutral,FinancialPhraseBank
operating profit rose to eur 26.7 mn from eur 14.9 mn in the corresponding period in 2006 .,Optimism,FinancialPhraseBank
operating profit rose to eur2 .4 m from eur1 .6 m year earlier .,Optimism,FinancialPhraseBank
efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,Optimism,FinancialPhraseBank
"alexandria , va. , aug. 27 -- timo vataja of tampere , finland , virve inget of oulu , finland , have developed a computer program product with activating the right of use .",Neutral,FinancialPhraseBank
"okmetic has a global customer base and sales network , production plants in finland and the us and contract manufacturers in japan and china .",Neutral,FinancialPhraseBank
the through service of fesco is a telling example of strengthening the relationship between logistics companies and operators at the international level .,Optimism,FinancialPhraseBank
"nokia 's share price fell less than one percent to 18.70 euros 25.41 in helsinki , while siemens shares fell 1.02 percent to 90.19 euros 122.57 in frankfurt .",Sadness,FinancialPhraseBank
affecto has participated in the program for the development of the norwegian pension system since 2007 .,Neutral,FinancialPhraseBank
"it expects revenue between 8.4 billion and 8.7 billion , compared to analyst estimates of 8.67 billion .",Neutral,FinancialPhraseBank
"according to finnish pension insurance company varma , varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in finland .",Optimism,FinancialPhraseBank
"favourable currency rates also contributed to higher net sales , '' ceo kari kauniskangas said .",Optimism,FinancialPhraseBank
"poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",Neutral,FinancialPhraseBank
"with the launch of new 3g handsets , nokia aims to become the winner in china 's 3g market as it did in the 2g market .",Optimism,FinancialPhraseBank
kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on jan. 21 and the saltonstall state office building on jan. 23 .,Sadness,FinancialPhraseBank
"fiskars brands report net sales of eur 145.8 mn , up from eur 138.4 mn .",Optimism,FinancialPhraseBank
the business to be divested generates consolidated net sales of eur 60 million annually and currently has some 640 employees .,Neutral,FinancialPhraseBank
"dolce gabbana has asked the european union to declare marimekko corporation 's unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",Fear,FinancialPhraseBank
"finnish-owned contract manufacturer of electronics elcoteq hungary kft has announced plans to recruit more than 650 new staffers to fulfill new orders in pcs , where the company has two plants .",Optimism,FinancialPhraseBank
the proposal by the board of directors on the issuance of option rights will otherwise correspond to the proposal by the board of directors in the notice to the general meeting .,Neutral,FinancialPhraseBank
"finnish it solutions provider affecto oyj hel afe1v said today its slipped to a net loss of eur 115,000 usd 152,000 in the second quarter of 2010 from a profit of eur 845,000 in the corresponding period a year earlier .",Sadness,FinancialPhraseBank
"the enterprise value of the fray bentos pulp mill and forestal oriental totals approximately euro1 .6 billion , '' upm said .",Neutral,FinancialPhraseBank
feed companies suomen rehu and raisio do no import gmo feed .,Neutral,FinancialPhraseBank
f-secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised .,Sadness,FinancialPhraseBank
it will focus on improving its profitability next year by streamlining operations .,Optimism,FinancialPhraseBank
"dubai nokia has announced the launch of comes with music '' , its ground-breaking service which introduces a new way for people to enjoy music .",Joy,FinancialPhraseBank
"currently the terminator lures are produced in a subcontract facility in mexico but the manufacturing will be transferred to rapala 's factory in shenzhen , china .",Neutral,FinancialPhraseBank
"operating profit totalled eur 1.22 mn , down from eur 3.56 mn in the first quarter of 2008 .",Sadness,FinancialPhraseBank
the value of the three-year contract is estimated at eur40m .,Neutral,FinancialPhraseBank
mobile data transfer is expected to increase explosively in the lte era .,Neutral,FinancialPhraseBank
arcelormittal chief executive officer lakshmi mittal has already cut output at some furnaces .,Sadness,FinancialPhraseBank
"first industrial will seek leed designation for uponor 's new building and a 282,000 square-foot speculative distribution center at first park lakeville .",Neutral,FinancialPhraseBank
russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,Neutral,FinancialPhraseBank
the diameter protocol is developed according to the standards ietf rfc 3588 and ietf rfc 3539 .,Neutral,FinancialPhraseBank
the group 's business is balanced by its broad portfolio of sports and presence in all major markets .,Optimism,FinancialPhraseBank
"rohwedder group is an automotive supplies , telecommunications and electronics industry provider for customers in europe , north america and asia .",Neutral,FinancialPhraseBank
"we will now , after the relevant authority approvals , make a mandatory bid as required by the finnish securities markets act .",Neutral,FinancialPhraseBank
"according to pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",Neutral,FinancialPhraseBank
"seller is the finnish elcoteq group , the largest european electronics manufacturing services company .",Neutral,FinancialPhraseBank
"the division also includes joint sales , marketing and controlling functions for these units .",Neutral,FinancialPhraseBank
currency conversions are based on exchange rates at the time of the deal .,Neutral,FinancialPhraseBank
exel wants to serve its industrial customers with individual products .,Neutral,FinancialPhraseBank
4 complete name of the shareholder otto henrik bernhard nyberg 5 further information the amount of shares now transferred corresponds to 5.68 of the total number of shares in aspo plc. .,Neutral,FinancialPhraseBank
the combined value of the planned investments is about eur 30mn .,Neutral,FinancialPhraseBank
"according to finnish fim bank , alpro 's price would be around eur 100mn-150mn .",Neutral,FinancialPhraseBank
the company aims to maintain this trend in profitability during the current year .,Optimism,FinancialPhraseBank
"in addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .",Neutral,FinancialPhraseBank
an android app will be coming soon .,Neutral,FinancialPhraseBank
this acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,Optimism,FinancialPhraseBank
"in this case , the effect would be negative in finland .",Fear,FinancialPhraseBank
"the train is expected to cross the russian territory in 9 days , reaching the vostochny port .",Neutral,FinancialPhraseBank
pretax profit rose to eur 17.8 mn from eur 14.9 mn in 2005 .,Optimism,FinancialPhraseBank
"the company targets sales of ls 27.1 mn ls 23.498 mn and a profit of ls 300,000 ls 371,500 in 2007 .",Neutral,FinancialPhraseBank
"the estonian beverages maker a. le coq today brought to the market a new premium class beer , a. le coq special , investing 6 million kroons eur 383,000 into its development and planning to sell three million liters of the beer during the next year .",Neutral,FinancialPhraseBank
"thanks to its extensive industry and operations experience , cybercom offers strategic and technological expertise to these markets telecom , industry , media , public sector , retail , and banking and financial services .",Neutral,FinancialPhraseBank
"according to finnish financial services group sampo 's ceo , bjrn wahlroos , danish danske bank 's acquisition of sampo bank for eur 4bn was the largest cash deal in finland 's economic history .",Neutral,FinancialPhraseBank
"we have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' karvinen said .",Neutral,FinancialPhraseBank
mr kivimeister said john deer former timberjack stands to win in the situation it controls around 60 of estonia 's forest machinery market .,Optimism,FinancialPhraseBank
aspo has also investigated the sales opportunities of kaukomarkkinat 's electronics business .,Neutral,FinancialPhraseBank
"in q1 '10 19 april 2010 - finnish forest machinery and equipment maker ponsse oyj hel pon1v said today that it expects to swing to a net profit of some eur6 .3 m in the first quarter of 2010 , from an eur9 .6 m loss a year earlier .",Optimism,FinancialPhraseBank
the facility consists of a seven year bullet term loan of 200 mln euro 292.4 mln and a 150 mln euro 219.3 mln five year revolving credit facility .,Neutral,FinancialPhraseBank
the purchase sum is about eur 10mn us 12.97 mn .,Neutral,FinancialPhraseBank
"honka 's subsidiaries in france and germany will also benefit by , for example , arranging customer events in conjunction with world cup skiing competitions .",Neutral,FinancialPhraseBank
the plant will collect raw material from the baltic sea region .,Neutral,FinancialPhraseBank
"goodwill and other intangible assets account for some 2.0 mln euro 2.6 mln of the purchase price , 20 pct of which payable in aspo shares .",Neutral,FinancialPhraseBank
"tallink silja attributes the significant drop to problems with the booking system that was taken into operation in october , the sale of trailer ferry sky wind ' and the route between stockholm and riga , which has won passengers from the helsinki-stockholm route .",Sadness,FinancialPhraseBank
"finnish investor scanfil oyj hel scf1v said last friday it has bought 57 million shares , or 32.96 , in norwegian contract electronics manufacturer kitron asa osl kit for nok 143.9 million usd 24.4 m-eur 18.1 m .",Neutral,FinancialPhraseBank
"uncertainties still exist , however .",Neutral,FinancialPhraseBank
hearst will be able to consolidate about 20 of all russian market for advertising in press after the purchase .,Optimism,FinancialPhraseBank
"the latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",Neutral,FinancialPhraseBank
last year 's net sales rose to eur 68.3 million from eur 62.2 million .,Optimism,FinancialPhraseBank
hobby hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,Sadness,FinancialPhraseBank
"the company 's transportation business is conducted through florida rock tank lines , which is a southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities .",Neutral,FinancialPhraseBank
"the business units of the investlesprom group cover the full forest industry chain , and the group owns forests , sawmills , paper and pulp mills , and other processing plants .",Neutral,FinancialPhraseBank
the government has instead proposed an exchange of the state 's stake in lmt to teliasonera 's stake in lattelecom .,Neutral,FinancialPhraseBank
"revenue from july to september grew 21 percent to euro 2.3 billion , the finnish company said thursday .",Joy,FinancialPhraseBank
the acquisition will considerably increase kemira 's sales and market position in the russian metal industry coatings market .,Optimism,FinancialPhraseBank
comptel corporation will publish its financial statements for 2008 on 12 february 2009 .,Neutral,FinancialPhraseBank
pharmaceutical market in netherlands global research data services published recently a market analysis about the pharmaceutical markets in netherlands .,Neutral,FinancialPhraseBank
"xerox and stora enso have teamed up to tailor the igen3 to the short-run , on-demand packaging market .",Optimism,FinancialPhraseBank
the district court of helsinki dismissed all charges as the court of first instance in 2005 .,Optimism,FinancialPhraseBank
"helsinki afx - kesko corp is expected to report a lower second quarter eps today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said .",Sadness,FinancialPhraseBank
"the facility will be used to refinance citycon 's existing credit facility , the company said .",Neutral,FinancialPhraseBank
"iggesunds bruk in sweden is one of the most advanced , fully integrated pulp and paperboard mills in the world .",Optimism,FinancialPhraseBank
"as part of the reorganization , kauko-telko ltd will be divided into telko ltd , leipurin ltd , hamina terminal services ltd and kaukomarkkinat ltd. .",Neutral,FinancialPhraseBank
finnish forest machinery manufacturer ponsse has issued a profit warning .,Sadness,FinancialPhraseBank
"as of july 2 , 2007 , the market cap segments will be updated according to the average price in may 2007 .",Neutral,FinancialPhraseBank
"the company 's set of services include digital printing , printing preparation , offset-printing , after-treatment services and send out services .",Neutral,FinancialPhraseBank
latvia 's stockmann shopping mall is a subsidiary of finland 's stockmann plc. .,Neutral,FinancialPhraseBank
"firm 28 october 2009 - finnish lifting equipment maker konecranes oyj hel kcr1v said today it acquired us machine tool solutions unlimited in cincinnati , ohio , for an undisclosed sum .",Optimism,FinancialPhraseBank
"the expanded agreement covers the sale , marketing and distribution of benefon 's navigation and locator devices in china .",Neutral,FinancialPhraseBank
the deal is in line with etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,Neutral,FinancialPhraseBank
"nonwovens and specialty papers , made by ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .",Neutral,FinancialPhraseBank
"in 2009 , lee man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",Neutral,FinancialPhraseBank
"net cash from operating activities was a negative eur 0.3 mn , compared to eur 30.9 mn in 2009 .",Sadness,FinancialPhraseBank
this includes a eur 39.5 mn change in the fair value of investment properties .,Neutral,FinancialPhraseBank
"upm is the biggest producer of magazine paper in europe , with a market share of over 30 pct , and it is likely to say that prices in the segment were at best flat during the quarter , analysts said .",Neutral,FinancialPhraseBank
"patja has worked well for us for more than a decade , and fujitsu 's new bid was competitive .",Neutral,FinancialPhraseBank
"yit corporation sept. 24 , 2007 at 1330 corporate release stock exchange release yit 's capital markets day in london , sept. 26 , 2007 on wednesday , september 26 , 2007 , yit will hold a capital markets day for investors and analysts in london .",Neutral,FinancialPhraseBank
after 1 april 2007 cencorp will not have any own employees in the territory .,Neutral,FinancialPhraseBank
financial terms were n't disclosed .,Neutral,FinancialPhraseBank
the aim is to convert the plants into flexible manufacturers of new and technologically demanding products .,Optimism,FinancialPhraseBank
halonen 's office acknowledged receiving the letter but declined comment .,Neutral,FinancialPhraseBank
"russia accounted for 9 of the lagardere magazine division 's revenue , or eur 114.40 mn usd 148.11 mn in 2009 , the usa - for 18 .",Neutral,FinancialPhraseBank
"featuring the s60 user interface , this 135-gram model also comes with a 2.4-inch quarter vga display and 100 megabytes of internal memory , expandable through the micro secure digital slot .",Neutral,FinancialPhraseBank
"in february 2011 , new wording of identity documents act that makes mobile id a state-approved electronic document as of february 1st 2011 entered into force .",Neutral,FinancialPhraseBank
at capman haavisto will be responsible for group finances and accounting and it .,Neutral,FinancialPhraseBank
"renzo piano 's building design will be a wonderful addition to london 's skyline , '' says noud veeger , evp and area director for central and north europe at kone .",Optimism,FinancialPhraseBank
"sales are expected to increase in the end of the year 2006 , however .",Optimism,FinancialPhraseBank
measures will be launched immediately and are due to be finalized in the first quarter of 2010 .,Neutral,FinancialPhraseBank
finnish plumbing and heating systems supplier uponor announced a company-wide cost reduction program in august 2008 .,Neutral,FinancialPhraseBank
"we are delighted to announce our support for intel based handheld platforms , the capabilities of which have made our development easier and faster .",Joy,FinancialPhraseBank
"westend ict plc s new 409,665,891 shares and increase of share capital with eur 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 december 2010 have today registered in the trade register .",Neutral,FinancialPhraseBank
airbus will attempt to evacuate up to 873 people within 90 seconds .,Neutral,FinancialPhraseBank
"ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .",Neutral,FinancialPhraseBank
"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says matti leminen , president of anttila oy .",Optimism,FinancialPhraseBank
"the first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in november 2008 .",Neutral,FinancialPhraseBank
"a total six of the polled analysts rated m-real -- two gave buy '' - accumulate '' , three gave hold '' and only one gave sell '' .",Neutral,FinancialPhraseBank
"it would be premature to talk about dates , volume and the investment procedure , '' he said .",Neutral,FinancialPhraseBank
it is planned to set up the a class business center in the two top storeys of the complex .,Neutral,FinancialPhraseBank
neste oil will offer outplacement services to the 111 employees to be reduced .,Neutral,FinancialPhraseBank
the groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .,Optimism,FinancialPhraseBank
peer peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,Sadness,FinancialPhraseBank
"therefore , phase iii of the research will not be conducted by abbott .",Neutral,FinancialPhraseBank
"both operating profit and turnover for the nine-month period increased , respectively from eur2 .4 m and eur43 .8 m , as compared to the corresponding period a year ago .",Optimism,FinancialPhraseBank
"kesko corporation stock exchange release 28.02.2008 at 09.30 1 1 kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kauko-telko ltd , a subsidiary wholly owned by kesko .",Optimism,FinancialPhraseBank
"german commerzbank ag 's hamburg branch and us jp morgan nyse jpm participated as arrangers , and dutch ing ams inga as co-arranger .",Neutral,FinancialPhraseBank
"we can choose the most efficient , best overall value option for our customers already at the bidding stage .",Optimism,FinancialPhraseBank
pharmaceutical market in poland global research data services published recently a market analysis about the pharmaceutical markets in poland .,Neutral,FinancialPhraseBank
"according to its notice , skandinaviska enskilda banken ab publ helsinki branch has on 10 august 2009 divested in total 11,958,000 alma media shares to ilkka-yhtyma oyj and kaleva kustannus oy , as the conditions of the agreement made by the companies on 1 july 2009 fulfilled .",Neutral,FinancialPhraseBank
nokia will certainly disagree with qualcomm 's views on the patent situation .,Fear,FinancialPhraseBank
rosa is one of the best-known duckburg illustrators .,Neutral,FinancialPhraseBank
"the company has the poser , who wants to impress people with the latest handset .",Neutral,FinancialPhraseBank
profit for the period was eur 15.6 mn compared to eur 14.1 mn in 2007 .,Optimism,FinancialPhraseBank
"according to heikkil , more than just refreshment and energy '' will soon be found in soft drinks also in finland .",Neutral,FinancialPhraseBank
"the report also said nokia 's operations comprising the sites at bochum , ulm , dusseldorf , munich and frankfurt posted operating profit after interest of 246 mln eur .",Neutral,FinancialPhraseBank
"product deliveries will not be interrupted , the refiner said , giving no financial details .",Neutral,FinancialPhraseBank
"the new system , which will include 60 mc3090 pdas from motorola , to be used by 60 poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing warehouse management system , aldata g.o.l.d stock , which went live in may 2008 .",Neutral,FinancialPhraseBank
"information system supplier sentera -- up 24.51 pct -- was the next most heavily traded share after sysopen digia , a software house , acquired 77.4 pct of the company this morning for just under 33 mln eur .",Neutral,FinancialPhraseBank
"following the transaction , lundbeck has worldwide rights for nalmefene , excluding north america , mexico , turkey and south-korea .",Optimism,FinancialPhraseBank
"of the company 's net sales , 38 was acquired in finland , 21 in other european countries , 40 in asia , and 1 in the us .",Neutral,FinancialPhraseBank
consumption is forecast to grow by about 2 .,Optimism,FinancialPhraseBank
"rautalinko was resposnible also for mobility services , and his job in this division will be continued by marek hintze .",Neutral,FinancialPhraseBank
"according to ringman , finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",Optimism,FinancialPhraseBank
"3g data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple sim ownership .",Neutral,FinancialPhraseBank
the new sepa cads will replace finnish bank cards .,Neutral,FinancialPhraseBank
the right margin will be viewed separately in detail with every customer .,Neutral,FinancialPhraseBank
the idea of saving electricity in data transfer is still a new one .,Neutral,FinancialPhraseBank
"the annual general meeting approved that the yearly remuneration for the members of the board of directors shall remain at eur 40.000 for the chairman of the board , eur 30.000 for the deputy chairman of the board and eur 20.000 for other members of the board .",Neutral,FinancialPhraseBank
"technopolis has set aside a plot of land measuring 4.6 hectares to build the park , mikkonen said .",Neutral,FinancialPhraseBank
"revenue was slightly down , at x20ac 495 million 634 million , compared to x20ac 497 million a year earlier .",Sadness,FinancialPhraseBank
bg crane has been a strong partner for hiab in australia for many years .,Neutral,FinancialPhraseBank
"meanwhile , minority shareholders , expecting teliasonera to retain the bid , sell shares now .",Neutral,FinancialPhraseBank
"in april 2010 , olvi 's range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape .",Neutral,FinancialPhraseBank
"some of the most recent technology deliveries include refinery technology to anrak aluminium , an iron ore pelletizing plant to tata steel and iron ore sintering plants to bhushan steel .",Neutral,FinancialPhraseBank
the company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,Neutral,FinancialPhraseBank
"as an alternative to the share exchange , panostaja offers a full cash consideration at the value of 1.27 euro 1.7 per share .",Neutral,FinancialPhraseBank
the transaction value is cad 15 million approximately eur 10 million .,Neutral,FinancialPhraseBank
"russia 's top container shipping group , fesco , and finnish logistics company nurminen logistics have started a pilot project offering clients direct intermodal transportation service from finland to asia pacific countries , fesco said in a statement .",Optimism,FinancialPhraseBank
"also the city 's insurance company , if p c insurance , has said it will not pay compensation .",Fear,FinancialPhraseBank
"prior to the transaction , whose financial terms have not been disclosed , alma media owned 40 of kotikokki net .",Neutral,FinancialPhraseBank
"in finland , metal sector company componenta is laying off temporarily the staff of its pori mill from christmas 2008 till 6 january 2009 .",Sadness,FinancialPhraseBank
completion of the transaction is subject to a final agreement and a due diligence process .,Neutral,FinancialPhraseBank
"for the purposes of the possible acquisition , pkc would establish a subsidiary in poland .",Neutral,FinancialPhraseBank
"the financial impact is estimated to be an annual improvement of eur2 .0 m in the division 's results , as of fiscal year 2008 .",Optimism,FinancialPhraseBank
the finnish textiles and clothing company marimekko corporation omx helsinki mmo1v reported on wednesday 5 november an operating profit of eur8 .1 m on net sales of eur59m for the period from january to september 2008 .,Neutral,FinancialPhraseBank
"remote phone management demonstrates sysopen digia 's unique end-to-end offering for operators , handset manufacturers and enterprise customers .",Neutral,FinancialPhraseBank
"o'leary 's material handling services , located in perth , is the leading company in western australia that supplies , installs and provides service for tail lifts .",Optimism,FinancialPhraseBank
vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,Neutral,FinancialPhraseBank
"every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .",Neutral,FinancialPhraseBank
among the biggest christmas sellers were a 35 satin bow shift dress styled on outfits worn by victoria beckham and a 75 paris hilton prom dress .,Neutral,FinancialPhraseBank
1 april 2011 - finnish machinery rental company ramirent oyj hel rmr1v said today it has acquired the assets of sector player stavebni doprava a mechanizace sdm in the czech republic for an undisclosed sum .,Neutral,FinancialPhraseBank
the issues identified by stonesoft affect a range of content inspection technology .,Neutral,FinancialPhraseBank
the plant is expected to start production in the first half of 2007 .,Neutral,FinancialPhraseBank
the companies ' aim is to finalize the negotiations and sign the contracts at the start of october 2008 .,Neutral,FinancialPhraseBank
"net sales of the paper segment decreased to eur 221.6 mn in the second quarter of 2009 from eur 241.1 mn in the second quarter of 2008 , while operating profit excluding non-recurring items rose to eur 8.0 mn from eur 7.6 mn .",Sadness,FinancialPhraseBank
"southfield , mich. -- central corporate credit union will again distribute patronage dividends to members by waiving all service fees incurred during the months of july and november 2008 , to the tune of an estimated 1 million .",Optimism,FinancialPhraseBank
"neste oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in june 2009 , have been promising , no decision on a commercial plant has been taken .",Neutral,FinancialPhraseBank
"for the fiscal year ending september 30 , 2009 the revenue from these customers was 10.012 million or around 11.0 of the transportation group 's revenue .",Neutral,FinancialPhraseBank
"the device offers multimedia performance along with a host of productivity applications , including live stock prices .",Neutral,FinancialPhraseBank
"the total value of the order , placed by aspo ' marine transportation subsidiary esl shipping oy , is eur 60 million usd 77.5 m .",Neutral,FinancialPhraseBank
the company expects net sales of 65 mln euro 85.1 mln for 2006 .,Neutral,FinancialPhraseBank
"a purchase agreement for 7,200 tons of gasoline with delivery at the hamina terminal , finland , was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month .",Optimism,FinancialPhraseBank
finland 's dominating rail company vr is planning to set the infected passengers for long-distance trip in a separate carriage .,Neutral,FinancialPhraseBank
"the casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",Neutral,FinancialPhraseBank
"in the fourth quarter of 2009 , orion 's net profit went up by 33.8 year-on-year to eur33m .",Optimism,FinancialPhraseBank
